id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1202457372104095726,Spacious 3-bed Retreat 1min to Mall @SunnybankHill,97177917,Olivia,,Sunnybank Hills,-27.60107,153.046,Entire home/apt,210,2,17,2025-06-01,1.65,129,167,17,
1202522716999954410,Walkable Convenience! Dual studio @Cannon Hill,97177917,Olivia,,Cannon Hill,-27.46935,153.09518,Entire home/apt,171,2,16,2025-03-02,1.48,129,181,16,
1202574587711731003,SunsetViews28thFloor&FreeParking&KingBed&FastWiFi,177969371,Yang,,South Brisbane,-27.47549,153.01566,Entire home/apt,220,3,41,2025-06-02,3.82,1,44,41,
1202738172196438474,SkyHigh Lux Stay with River View parking available,590341754,Chunfeng,,Brisbane City,-27.47298,153.02995,Entire home/apt,,1,46,2025-05-19,4.26,1,0,46,
1202748190843253667,Modern1B1B-Gym-Spa-Sauna-Pool-BBQ-Projector-PS4,95215711,Boyana,,Spring Hill,-27.4623141,153.0258229,Entire home/apt,,4,7,2024-11-16,0.68,1,0,7,
1202752290131554336,Panoramic Place,590345065,James,,Newstead - Bowen Hills,-27.44839,153.03599,Private room,97,2,8,2025-05-29,0.97,1,230,8,
1203290775916916185,"Modern 1-Bedroom CBD Apartment  with WiFi, Pool &",577258511,Madison,,Brisbane City,-27.47185,153.02883,Entire home/apt,187,2,4,2025-02-08,0.52,7,157,4,
1203293107867679522,"2BR 1Bath Apt in Brisbane City, Pool and Gym",577258511,Madison,,Brisbane City,-27.47185,153.02883,Entire home/apt,171,2,6,2025-06-02,0.58,7,152,6,
1203311656933544318,Paddington perfect position close to Suncorp,18174526,Dominique,,Paddington - Milton,-27.4654,153.00026,Entire home/apt,,5,4,2025-01-03,0.40,7,106,4,
1203870781041355083,安静中房紧邻公园,45503564,志宏,,Runcorn,-27.60206,153.06932,Private room,47,2,5,2025-05-10,0.55,3,326,5,
1204148383387958065,"""Stylish 1 Bdrm Retreat in the heart of Brisbane!""",47433109,Kris,,Spring Hill,-27.4624365,153.0306249,Entire home/apt,122,1,25,2025-05-02,2.46,1,213,25,
1204170429756665621,"Gardens of Paddington,living close to city.",502087323,Francesco And Renata,,Paddington - Milton,-27.4612136572507,152.99368266016245,Private room,128,1,10,2025-05-31,1.21,1,265,10,
1204517134652029715,Leafy & Spacious Apt w/Large Balcony & Parking.,224913447,Jayson,,Morningside - Seven Hills,-27.4693616,153.0722132,Entire home/apt,254,3,9,2025-05-29,1.46,1,76,9,
1204698213206577480,Short stay near UQ,508637642,Nicola,,St Lucia,-27.50139,153.00101,Private room,,10,5,2024-11-22,0.57,1,0,5,
1204846906310656702,"King Bed, Close to Suncorp Stadium",485387749,Sam,,Auchenflower,-27.47247,152.99783,Private room,67,1,20,2025-05-03,2.06,9,0,20,
